ngram,Marriott International
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,6.576197523041775e-11
1894,6.576197523041775e-11
1895,6.576197523041775e-11
1896,6.576197523041775e-11
1897,6.576197523041775e-11
1898,6.576197523041775e-11
1899,6.576197523041775e-11
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,2.8609751472658777e-11
1917,2.8609751472658777e-11
1918,2.8609751472658777e-11
1919,4.210814930865376e-11
1920,4.210814930865376e-11
1921,4.210814930865376e-11
1922,4.210814930865376e-11
1923,1.3498397835994984e-11
1924,1.3498397835994984e-11
1925,1.3498397835994984e-11
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,6.198648578552885e-10
1939,6.198648578552885e-10
1940,6.198648578552885e-10
1941,6.198648578552885e-10
1942,6.198648578552885e-10
1943,6.198648578552885e-10
1944,6.198648578552885e-10
1945,0.0
1946,3.1467911609794896e-11
1947,3.1467911609794896e-11
1948,4.772006797651837e-11
1949,6.388904683074514e-11
1950,6.388904683074514e-11
1951,6.388904683074514e-11
1952,6.388904683074514e-11
1953,3.242113522095025e-11
1954,3.242113522095025e-11
1955,1.6168978854226778e-11
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,3.021616290510565e-11
1961,4.092246977790584e-11
1962,4.092246977790584e-11
1963,4.092246977790584e-11
1964,4.092246977790584e-11
1965,8.286514926617424e-11
1966,9.960734221563833e-11
1967,7.780905780796488e-11
1968,6.710275093516468e-11
1969,7.564913973023835e-11
1970,1.0903267376262602e-10
1971,2.9650490198017213e-10
1972,2.793989563519363e-10
1973,3.5694589546013995e-10
1974,3.64035939289956e-10
1975,4.103022554649957e-10
1976,5.087744035593898e-10
1977,5.441156255717569e-10
1978,8.844436135849573e-10
1979,1.091520050931573e-09
1980,1.0419585293781302e-09
1981,1.3820704897986908e-09
1982,1.5261192389180523e-09
1983,1.7499623575619898e-09
1984,1.925952944744783e-09
1985,1.928106745691898e-09
1986,6.867013537169088e-09
1987,7.1085910649923025e-09
1988,7.142032695409536e-09
1989,8.648107071732421e-09
1990,1.2536569988468621e-08
1991,2.7037730784432564e-08
1992,3.774208675747356e-08
1993,4.130214998581445e-08
1994,5.746202031658194e-08
1995,6.964876434320136e-08
1996,8.668540171389136e-08
1997,9.596640840722362e-08
1998,9.615464132853699e-08
1999,9.58445452527355e-08
2000,9.679053038423393e-08
2001,9.049766954863766e-08
2002,8.930220372706441e-08
2003,8.163281961515167e-08
2004,7.735482146894615e-08
2005,7.193480858599547e-08
2006,6.692556857907611e-08
2007,6.213797172043606e-08
2008,5.7589740976027315e-08
2009,4.96708355715977e-08
2010,4.245790182924988e-08
2011,3.607085880779388e-08
2012,3.011438311416116e-08
2013,3.0282813209428893e-08
2014,2.851524730626157e-08
2015,2.6309323989234405e-08
2016,2.7065847214251855e-08
2017,2.708432796557266e-08
2018,2.85317874215707e-08
2019,2.9438898430100835e-08
