ngram,UPDATE
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,2.6801966360575793e-09
1787,2.6801966360575793e-09
1788,2.6801966360575793e-09
1789,2.6801966360575793e-09
1790,2.6801966360575793e-09
1791,2.6801966360575793e-09
1792,2.6801966360575793e-09
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,1.1573133562592375e-09
1799,1.1573133562592375e-09
1800,1.1573133562592375e-09
1801,1.1573133562592375e-09
1802,1.1573133562592375e-09
1803,1.1573133562592375e-09
1804,1.1573133562592375e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,8.5149458912375e-11
1833,8.5149458912375e-11
1834,8.5149458912375e-11
1835,8.5149458912375e-11
1836,8.5149458912375e-11
1837,8.5149458912375e-11
1838,1.614752062221011e-10
1839,7.632574730972611e-11
1840,7.632574730972611e-11
1841,7.632574730972611e-11
1842,7.632574730972611e-11
1843,7.632574730972611e-11
1844,1.4310860433194454e-10
1845,6.678285702221842e-11
1846,6.678285702221842e-11
1847,6.678285702221842e-11
1848,6.678285702221842e-11
1849,6.678285702221842e-11
1850,6.678285702221842e-11
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,5.250174898005103e-11
1856,1.0220055357557101e-10
1857,1.0220055357557101e-10
1858,1.0220055357557101e-10
1859,1.0220055357557101e-10
1860,1.0220055357557101e-10
1861,1.0220055357557101e-10
1862,4.969880459551998e-11
1863,0.0
1864,1.4128536436024726e-10
1865,1.4128536436024726e-10
1866,8.491192828228935e-10
1867,8.491192828228935e-10
1868,8.93930980825987e-10
1869,8.93930980825987e-10
1870,8.93930980825987e-10
1871,9.149498658711508e-10
1872,9.149498658711508e-10
1873,2.071159474085046e-10
1874,3.2633808750531e-10
1875,2.815263895022164e-10
1876,2.815263895022164e-10
1877,2.815263895022164e-10
1878,1.1922214009680536e-10
1879,1.1922214009680536e-10
1880,1.1922214009680536e-10
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,8.290190756099491e-11
1888,2.719218025351974e-10
1889,3.7660538180058923e-10
1890,4.019010719462963e-10
1891,4.019010719462963e-10
1892,4.2437265408106535e-10
1893,4.704960012861089e-10
1894,3.8759409372511403e-10
1895,2.1974540639505388e-10
1896,1.732031046364213e-10
1897,5.05217082256783e-09
1898,5.05217082256783e-09
1899,5.029699240433061e-09
1900,5.001646497764562e-09
1901,5.035919871586105e-09
1902,5.014748663941962e-09
1903,4.956607386435203e-09
1904,8.40514582537263e-11
1905,8.40514582537263e-11
1906,8.40514582537263e-11
1907,6.598085371718148e-11
1908,4.5431934008506e-11
1909,7.29939521524971e-11
1910,7.29939521524971e-11
1911,5.5264404164034886e-11
1912,6.967851196819958e-11
1913,8.397643096775503e-11
1914,8.397643096775503e-11
1915,7.025197685488799e-11
1916,4.791939662534312e-10
1917,5.210911702135945e-10
1918,5.502539554954769e-10
1919,5.642513410873486e-10
1920,8.051716178712556e-10
1921,8.051716178712556e-10
1922,1.4814078911985972e-09
1923,1.0449038836560627e-09
1924,2.2240832528838286e-09
1925,2.36498393686129e-09
1926,2.3365724434652536e-09
1927,3.2637498893959916e-09
1928,3.2637498893959916e-09
1929,2.58751361606865e-09
1930,3.1320614514638935e-09
1931,2.2257810039505443e-09
1932,3.3421180743532985e-09
1933,4.013965667784955e-09
1934,2.8540379008536375e-09
1935,3.0762612358253047e-09
1936,3.892821071446331e-09
1937,3.774679162492158e-09
1938,4.743265833677996e-09
1939,3.7914037207384e-09
1940,3.1969359124258847e-09
1941,3.3399394519914185e-09
1942,3.1924402565941534e-09
1943,3.148200152950206e-09
1944,5.529550032142996e-09
1945,4.452630859257718e-09
1946,6.884195935530357e-09
1947,4.9093333802969445e-08
1948,4.998806237991157e-08
1949,5.030447996252312e-08
1950,4.99720796013189e-08
1951,5.034175062526966e-08
1952,5.0386230188159686e-08
1953,4.975557427971162e-08
1954,9.399678765501359e-09
1955,9.04969713452378e-09
1956,1.124441252807275e-08
1957,1.3659087686309794e-08
1958,1.4123614135362419e-08
1959,1.9530934393584076e-08
1960,2.363893493649373e-08
1961,3.3132715301523574e-08
1962,4.027784937323174e-08
1963,4.683325143568189e-08
1964,5.2989953758242336e-08
1965,6.447468083235566e-08
1966,7.417791282802812e-08
1967,8.56629134610947e-08
1968,1.0774280769153068e-07
1969,1.322132214503264e-07
1970,1.6600747747881022e-07
1971,2.108089966717281e-07
1972,2.5967209791945477e-07
1973,3.249696354552205e-07
1974,3.989436509397949e-07
1975,4.712683282345357e-07
1976,5.485835937893821e-07
1977,6.273926820605473e-07
1978,6.970069453668007e-07
1979,7.567695336417403e-07
1980,8.35934754052557e-07
1981,9.218018785109702e-07
1982,1.0103171267214099e-06
1983,1.1106259632599956e-06
1984,1.2326049889972118e-06
1985,1.3066753824984647e-06
1986,1.3639133352886087e-06
1987,1.403435801096618e-06
1988,1.4210199391787422e-06
1989,1.3919116911763143e-06
1990,1.3484316728603777e-06
1991,1.2863680305079988e-06
1992,1.2566710795778948e-06
1993,1.2278578651603311e-06
1994,1.1777514795799756e-06
1995,1.124237574653567e-06
1996,1.1128343788056685e-06
1997,1.0946415938763363e-06
1998,1.0484765035861138e-06
1999,1.0416053360781267e-06
2000,1.021295166278183e-06
2001,1.0023421737059834e-06
2002,9.728106208837874e-07
2003,9.65241984626378e-07
2004,9.205957423676279e-07
2005,9.040241317442061e-07
2006,8.641267186249024e-07
2007,8.200128637067142e-07
2008,7.66393262503178e-07
2009,7.29565394002358e-07
2010,6.324157238525783e-07
2011,5.790713463024336e-07
2012,5.111970965897074e-07
2013,4.346375054150745e-07
2014,3.7359577374575436e-07
2015,3.388256613691608e-07
2016,3.016579788501466e-07
2017,2.946340913467793e-07
2018,2.8315988629401547e-07
2019,2.646140444539924e-07
