ngram,Code Division Multiple Access
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,4.65333327426265e-11
1867,4.65333327426265e-11
1868,4.65333327426265e-11
1869,4.65333327426265e-11
1870,4.65333327426265e-11
1871,4.65333327426265e-11
1872,4.65333327426265e-11
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,3.921829527797627e-11
1898,5.826607846997384e-11
1899,5.826607846997384e-11
1900,5.826607846997384e-11
1901,5.826607846997384e-11
1902,5.826607846997384e-11
1903,5.826607846997384e-11
1904,1.9047783191997578e-11
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,1.510035747236722e-11
1914,1.510035747236722e-11
1915,1.510035747236722e-11
1916,1.510035747236722e-11
1917,1.510035747236722e-11
1918,1.510035747236722e-11
1919,1.510035747236722e-11
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,4.592752765399309e-11
1939,4.592752765399309e-11
1940,4.592752765399309e-11
1941,4.592752765399309e-11
1942,4.592752765399309e-11
1943,4.592752765399309e-11
1944,4.592752765399309e-11
1945,0.0
1946,8.725552026943108e-11
1947,8.725552026943108e-11
1948,8.725552026943108e-11
1949,8.725552026943108e-11
1950,8.725552026943108e-11
1951,8.725552026943108e-11
1952,8.725552026943108e-11
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,9.51862319123872e-11
1960,9.51862319123872e-11
1961,1.0705046769667246e-10
1962,1.0705046769667246e-10
1963,1.0705046769667246e-10
1964,1.1652172877368068e-10
1965,1.1652172877368068e-10
1966,3.059534371883745e-11
1967,4.922948358489419e-11
1968,5.601859254245056e-11
1969,8.437775280066364e-11
1970,1.7676214658646217e-10
1971,2.3327228046035996e-10
1972,3.0652118740029776e-10
1973,5.928214883274155e-10
1974,9.08929392069118e-10
1975,1.061303398338812e-09
1976,1.1345976063432366e-09
1977,1.1437187149735247e-09
1978,1.5680027355889438e-09
1979,1.7346579252373674e-09
1980,2.24035341072388e-09
1981,2.9913218093012362e-09
1982,4.453348277446066e-09
1983,5.038521821987274e-09
1984,6.238700540300053e-09
1985,7.113037650948886e-09
1986,8.300706915471373e-09
1987,1.0614498549951383e-08
1988,1.1559547033864907e-08
1989,1.4250905027474964e-08
1990,1.733767339219737e-08
1991,2.350111356313229e-08
1992,3.019787721468349e-08
1993,3.5819423744547814e-08
1994,3.9079006062893636e-08
1995,4.5793501562181e-08
1996,4.9681175237229324e-08
1997,5.463639953161094e-08
1998,5.916363272311693e-08
1999,6.418164184245662e-08
2000,6.748556710281914e-08
2001,7.09244584332477e-08
2002,7.162408012715917e-08
2003,7.233331343416336e-08
2004,7.359720553625135e-08
2005,7.088003530140798e-08
2006,6.599898989228287e-08
2007,6.419305924915924e-08
2008,6.179948489456624e-08
2009,5.8270191211866925e-08
2010,5.426790750107102e-08
2011,4.7343411223112394e-08
2012,4.2079491129649275e-08
2013,3.7642631868704616e-08
2014,3.244937296642547e-08
2015,2.8704267914950573e-08
2016,2.5634033816247992e-08
2017,2.4167498520929105e-08
2018,2.4705496670662795e-08
2019,2.3862153142317766e-08
